,Sold Price,lat,lon,X,Y
R2043652,750000.0,49.2779282,-123.11874209999999,1987.8240987262982,707.4777207753931
R2044097,1460000.0,49.2732654,-123.12759650000001,1345.5342561954128,188.99801681732114
R2045572,710000.0,49.28729200000001,-123.1238855,1614.7267035248153,1748.6847748908024
R2044179,468000.0,49.28729200000001,-123.1238855,1614.7267035248153,1748.6847748908024
R2043127,639900.0,49.284045299999995,-123.1396304,472.60647610743354,1387.6682065525256
R2043387,910000.0,49.2746419,-123.11231090000001,2454.337293890663,342.0578333434701
R2043618,789000.0,49.2783131,-123.1170413,2111.1985299888206,750.2766480409109
R2043888,666000.0,49.2895949,-123.1268232,1401.628710391278,2004.7555714593834
R2043512,511000.0,49.2792146,-123.1214703,1789.9230384180146,850.5188744115113
R2043293,1281000.0,49.2734085,-123.12929240000001,1222.5152663206861,204.91001082043607
R2043549,825000.0,49.28982970000001,-123.1420877,294.3562468372472,2030.8641402372396
R2043230,689000.0,49.2820835,-123.13765479999999,615.9146407382302,1169.5259994616115
R2043557,705000.0,49.2895949,-123.1268232,1401.628710391278,2004.7555714593834
R2043569,750000.0,49.2788489,-123.107294,2818.25849815028,809.8548897372356
R2043126,450000.0,49.2810194,-123.1063855,2884.1602330995006,1051.203478019061
R2044094,688000.0,49.2900011,-123.12816380000001,1304.3828481195276,2049.922950662455
R2043430,565000.0,49.2734623,-123.11633710000001,2162.280535217972,210.89229787350513
R2043357,513000.0,49.2781262,-123.11061240000001,2577.5448853184976,729.4943162515254
R2043627,1480000.0,49.2821013,-123.12586409999999,1471.2009217191003,1171.505269156102
R2043239,368000.0,49.2852125,-123.13186100000001,1036.1914398023773,1517.454924932577
R2043235,1250000.0,49.2821013,-123.12586409999999,1471.2009217191003,1171.505269156102
R2040708,375000.0,49.275724200000006,-123.12478840000001,1549.2311873036208,462.4041024516887
R2044308,399000.0,49.279782,-123.106388,2883.9788854528765,913.6108757889916
R2043336,608800.0,49.2761941,-123.1157455,2205.194642423993,514.6545984810435
R2042571,1638000.0,49.2730999,-123.1307301,1118.2258614379684,170.59525645749403
R2042824,528000.0,49.277586299999996,-123.1288892,1251.763014842673,669.4601753553709
R2042721,739000.0,49.2788861,-123.1079385,2771.507074732,813.9913410085568
R2042324,628000.0,49.279855100000006,-123.1056374,2938.4267030120327,921.7392249276771
R2042937,1465000.0,49.2883076,-123.1253203,1510.6476619115633,1861.614342390486
R2042841,455000.0,49.28408599999999,-123.113394,2375.770239269661,1392.1938400661202
R2043234,1320000.0,49.27355800000001,-123.1140189,2330.440581404626,221.53365235449166
R2043163,560000.0,49.2832675,-123.116417,2156.4846644180475,1301.1807926089996
R2042379,1099000.0,49.2761973,-123.1223648,1725.0368502919516,515.0104222465138
R2044033,685000.0,49.2744365,-123.1278966,1323.7652846404146,319.21839541082346
R2042437,480000.0,49.2827686,-123.10718700000001,2826.0201774443535,1245.7056437056128
R2043184,650000.0,49.274080600000005,-123.1273946,1360.1798921743105,279.6441210185474
R2042995,935000.0,49.27387359999999,-123.12506440000001,1529.2104070657915,256.62677120119037
R2042774,510000.0,49.27926,-123.1067054,2860.9549881793214,855.5671240809121
R2043885,570000.0,49.2794125,-123.119698,1918.4840123873919,872.5243503940592
R2042608,808000.0,49.276672399999995,-123.11659070000002,2143.884629897401,567.8391318948568
R2043372,395000.0,49.2761941,-123.1157455,2205.194642423993,514.6545984810435
R2042445,530000.0,49.2761649,-123.12355330000001,1638.8241788682415,511.4077066230031
R2042806,422000.0,49.2768552,-123.1252236,1517.66218890072,588.1655644859925
R2042979,545000.0,49.2756765,-123.1179733,2043.5921271561779,457.100104450387
R2042711,511666.0,49.275724200000006,-123.12478840000001,1549.2311873036208,462.4041024516887
R2042542,525000.0,49.2830217,-123.1080219,2765.4573172257706,1273.8490796395613
R2042699,727000.0,49.2781145,-123.1194851,1933.9275780124672,728.1933356095924
R2042899,456000.0,49.2791479,-123.1099791,2623.483871277633,843.1021728037665
R2042724,500000.0,49.280890299999996,-123.10882859999998,2706.9400584664695,1036.84821298899
R2042622,672500.0,49.279036700000006,-123.1172757,2094.1953745986534,830.7372969617705
R2043111,420000.0,49.28458510000001,-123.13318229999999,940.345581368545,1447.691227956676
R2042623,1199000.0,49.2743396,-123.12159960000001,1780.5437381100742,308.4436070186744
R2043318,275000.0,49.27709230000001,-123.13060759999999,1127.1118961452357,614.5298815941694
R2043863,620000.0,49.2813233,-123.1241015,1599.0582668173074,1084.995616226197
R2042892,1350000.0,49.2746542,-123.1202958,1875.1201630175365,343.4255309413795
R2044805,515000.0,49.2794125,-123.119698,1918.4840123873919,872.5243503940592
R2042858,590000.0,49.2792068,-123.1176206,2069.1766532070774,849.6515539830293
R2043677,347000.0,49.27949659999999,-123.13472320000001,828.5701456113243,881.8758437235367
R2043587,525000.0,49.2785529,-123.11504009999999,2256.3636945257917,776.9411914505861
R2042846,530000.0,49.277586299999996,-123.1288892,1251.763014842673,669.4601753553709
R2042954,523000.0,49.2782434,-123.1209497,1827.686872446506,742.5263616540745
R2042477,830000.0,49.2830217,-123.1080219,2765.4573172257706,1273.8490796395613
R2041960,870000.0,49.2785529,-123.11504009999999,2256.3636945257917,776.9411914505861
R2041806,425000.0,49.28408599999999,-123.113394,2375.770239269661,1392.1938400661202
R2043601,589000.0,49.2915866,-123.1327885,968.91146273572,2226.2225068578987
R2041460,1150000.0,49.2755575,-123.12324640000001,1661.086416023913,443.86790817911884
R2042187,559000.0,49.2785529,-123.11504009999999,2256.3636945257917,776.9411914505861
R2041588,605000.0,49.284760399999996,-123.1310205,1097.1605187520788,1467.1836985961324
R2041986,400000.0,49.2768552,-123.1252236,1517.66218890072,588.1655644859925
R2041661,685000.0,49.2734085,-123.12929240000001,1222.5152663206861,204.91001082043607
R2041405,575000.0,49.279728999999996,-123.1258703,1470.7511795532043,907.7175446766976
R2041778,1550000.0,49.287849200000004,-123.12351640000001,1641.500870139013,1810.6425880166853
R2042575,559250.0,49.288218,-123.12425139999999,1588.1846618985028,1851.651276962847
R2040928,925000.0,49.2801011,-123.12652,1423.6225530297395,949.093176881914
R2042235,850000.0,49.274212799999994,-123.12211629999999,1743.0628064127907,294.3440903197142
R2040933,495000.0,49.27968019999999,-123.1088307,2706.787726441656,902.2912322554475
R2041354,498000.0,49.2782434,-123.1209497,1827.686872446506,742.5263616540745
R2041316,496090.0,49.27387299999999,-123.1194213,1938.555569966482,256.560054245214
R2040936,555000.0,49.2791928,-123.1255773,1492.005123791171,848.0948250099854
R2041771,764000.0,49.2795653,-123.1197933,1911.571040080757,889.5149351855894
R2040919,629000.0,49.27582879999999,-123.11717140000002,2101.7611984331356,474.0350917771552
R2041770,811000.0,49.2726784,-123.1277632,1333.4419950884067,123.7265948766314
R2041121,531000.0,49.2790779,-123.1200461,1893.2331660079305,835.318527938547
R2040939,850000.0,49.2749955,-123.1223163,1728.55499464574,381.37635940542543
R2040913,702000.0,49.27858459999999,-123.1107545,2567.237085059016,780.466070623746
R2041164,599000.0,49.2759364,-123.1314358,1067.035047618781,485.9996658848735
R2039633,720000.0,49.287063,-123.1269742,1390.67531250734,1723.2211366887007
R2042240,541000.0,49.277586299999996,-123.1288892,1251.763014842673,669.4601753553709
R2040880,508000.0,49.2755575,-123.12324640000001,1661.086416023913,443.86790817911884
R2041670,735000.0,49.275580299999994,-123.12802279999998,1314.6108554169684,446.4031525062186
R2041730,585000.0,49.2785529,-123.11504009999999,2256.3636945257917,776.9411914505861
R2040616,475000.0,49.277974799999996,-123.1169051,2121.0783498018563,712.6594043567466
R2040837,491000.0,49.2820835,-123.13765479999999,615.9146407382302,1169.5259994616115
R2040768,780000.0,49.2792015,-123.1097605,2639.3409095392794,849.0622208720368
R2040324,2417000.0,49.274294299999994,-123.13346489999999,919.8460433419784,303.40647684127794
R2040460,825000.0,49.281183399999996,-123.12537659999998,1506.5637129005136,1069.4394459885525
R2040952,439000.0,49.2903719,-123.1281461,1305.6667894619568,2091.1540294621345
R2040320,640000.0,49.2849545,-123.1234576,1645.7661667997795,1488.7666338580239
R2040456,1111100.0,49.2735969,-123.1245034,1569.90481907239,225.85913500015732
R2039983,549000.0,49.27494229999999,-123.11725890000001,2095.414030785824,375.4607893067525
R2041185,360000.0,49.2774937,-123.1273488,1363.5021810695382,659.1635251486405
R2039878,1630000.0,49.2824114,-123.1402561,427.2187869956849,1205.9868159085897
R2039908,286000.0,49.2800848,-123.13675559999999,681.1417624411838,947.2806995769693
R2040403,774900.0,49.2744365,-123.1278966,1323.7652846404146,319.21839541082346
R2040797,858000.0,49.2804843,-123.1169885,2115.0285922945964,991.7030727715072
R2040820,632000.0,49.2739532,-123.1287006,1265.4438813386432,265.47788736361093
R2041623,400000.0,49.2768552,-123.1252236,1517.66218890072,588.1655644859925
R2040168,1277000.0,49.2906894,-123.14424369999999,137.96203599470653,2126.458418671927
R2041347,898000.0,49.2785678,-123.1179095,2048.220119110193,778.5979958571994
R2040273,838000.0,49.2788861,-123.1079385,2771.507074732,813.9913410085568
R2040228,695000.0,49.2835489,-123.10528470000001,2964.0112290619013,1332.4710449666288
R2039893,679000.0,49.279782,-123.106388,2883.9788854528765,913.6108757889916
R2039737,420000.0,49.2875111,-123.13431299999999,858.3256675459207,1773.0475833181097
R2040864,467000.0,49.2744365,-123.1278966,1323.7652846404146,319.21839541082346
R2040481,590000.0,49.284993799999995,-123.129346,1218.627172768197,1493.136594474867
R2039991,531000.0,49.27889879999999,-123.11524920000001,2241.1957773223485,815.4035165760636
R2040152,551000.0,49.2780024,-123.1205063,1859.8506911326022,715.7283843324468
R2040031,1330000.0,49.273320399999996,-123.13017990000002,1158.1368516062018,195.11373778234284
R2040078,901800.0,49.2761771,-123.1287753,1260.0252136439035,512.7642847281181
R2039702,600000.0,49.2746419,-123.11231090000001,2454.337293890663,342.0578333434701
R2039675,477000.0,49.2751294,-123.1257138,1482.1035422607463,396.2653600825168
R2040494,500000.0,49.274080600000005,-123.1273946,1360.1798921743105,279.6441210185474
R2039755,646000.0,49.27968019999999,-123.1088307,2706.787726441656,902.2912322554475
