,PicCount,List Price,Sold Price,Tot BR,Tot Baths,TotFlArea,Age,TotalPrkng,# Rms,Fireplaces,Gross Taxes,Taxes/TotFlArea,Strata Maint Fee,View_Score,Baths,GST Incl,Title to Land 0,Title to Land 1,Title to Land 2,Title to Land 3,Title to Land 4,Title to Land 5,Title to Land 6,District 21,District 16,District 11,District 10,District 15,District 18,District 26,District 20,District 13,District 22,District 17,District 14,District 27,District 8,District 7,District 9,District 6,District 3,District 31,District 12,District 25,District 4,District 32,District 5,District 23,District 19,District 2,DOM,Address_IsPH
R2133227,-0.08606092441410211,-0.490478802060476,-0.4721078031632235,0.8694335713973095,-0.8076088499514855,-0.32238895574739357,-0.2101974932037554,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,-0.042553122845333725,-0.022952709377204703,-0.5519999997761086,-0.15720476109348847,-0.818122021519067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0
R2133619,-1.449814834012491,-1.0146361588898145,-0.9820162864839788,-0.6576829802210812,-0.8076088499514855,-0.8723486947720148,0.33232697257387506,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.07472117092891632,-0.03132647044821463,0.06530707294814123,-0.15720476109348847,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0
R2133283,0.7662852690848909,-0.7805959597750347,-0.7823823048065133,-0.6576829802210812,-0.8076088499514855,-0.5286238578816266,1.3398724090180458,-0.1270117087732673,-0.47793688914260624,-0.6262828060694792,-0.06740940065083773,-0.036785432430211915,-0.43327551151419597,0.16007086731367653,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0
R2133171,0.7662852690848909,2.3916914915926237,2.476702576795484,0.8694335713973095,0.9478831840426758,1.5234134183539916,-0.36520448342593553,-0.1270117087732673,1.4230140405260576,-0.6262828060694792,0.16407147622222648,0.0347910214855089,0.8415964807155002,-0.15720476109348847,1.0763591766107998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0
R2133390,-0.9384071179130952,-0.8612355531333944,-0.8425130221792438,0.8694335713973095,-0.8076088499514855,0.16913756100586175,1.572382894351316,-0.1270117087732673,0.789363730636503,1.5271178725774979,-0.056166555611426715,-0.046379861389688345,0.13413111639743253,-1.4263072747221484,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0
R2133754,-0.2565301631139007,-0.6665882588201123,-0.7006045291795997,-0.6576829802210812,-0.8076088499514855,-1.0545228583239206,-1.062735939425746,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.05571186321589925,-0.0015533729904129215,-1.045399687796555,-0.7917560179078185,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0
R2133465,-0.42699940181369933,0.09809754026778203,0.09071571144553471,-0.6576829802210812,-0.8076088499514855,-0.2123970079424693,-0.2877009883148455,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,-0.03065845611233429,-0.017521373098532113,-0.1571356103892802,0.7946221241280065,-0.818122021519067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,0
R2133145,0.5958160303850923,0.05360673013903182,0.06137192136764219,0.8694335713973095,0.9478831840426758,0.19319829958818893,-0.36520448342593553,-0.1270117087732673,0.789363730636503,-0.6262828060694792,-0.004239532922201076,-0.01249810889046523,0.5498476240272164,3.0155515229781615,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
R2133107,0.7662852690848909,0.5379077362280316,0.5284673339190133,2.3965501230157003,0.9478831840426758,1.3206157645886625,0.4098304676849651,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,0.029753759793427714,-0.022702945915328666,1.5218817718324904,0.7946221241280065,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
R2133030,0.7662852690848909,-0.4140102221516866,-0.4757156462055873,-0.6576829802210812,-0.8076088499514855,-0.4976886225614916,1.8823968747956763,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.03202541109888839,-0.00728924708540589,0.09206528248534387,-0.15720476109348847,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33,0
