,PicCount,List Price,Sold Price,Tot BR,Tot Baths,TotFlArea,Age,TotalPrkng,# Rms,Fireplaces,Gross Taxes,Sold Price Per SQFT,SP/LP Ratio,SP/OLP Ratio,Strata Maint Fee,View_Score,Baths,GST Incl 0,GST Incl 1
R2074022,0.08440831428569649,-0.7687780883345854,-0.6741470135355982,-0.6576829802210812,-0.8076088499514855,-0.6729882893755896,6.6101100765721705,-0.1270117087732673,-0.4779368891426062,1.527117872577498,-0.06114155231249072,-0.4363251998389334,1.4295212248278863,1.3611139334473503,-0.6449305383039612,-0.7917560179078185,-0.818122021519067,1.0,0.0
R2074055,0.7662852690848909,0.3251860502999446,0.4563104730717366,0.8694335713973095,2.703375218036837,1.3893607319667405,-0.7527219589813858,2.1666108729996862,2.690314660305167,-0.6262828060694792,0.04898106085430051,-0.7621548074916538,0.6044245330695232,0.6002830502421381,0.8520225398369781,-0.4744803895006535,2.023599775675733,1.0,0.0
R2075245,0.7662852690848909,-0.5949858612691549,-0.4697025744683143,-0.6576829802210812,-0.8076088499514855,-0.4426926486590295,-0.830225454092476,-0.1270117087732673,-0.4779368891426062,-0.6262828060694792,-0.024272617975147875,-0.2986873396727071,1.5945405631795588,1.513280110088393,-0.4852852746461912,-1.4263072747221484,-0.818122021519067,1.0,0.0
R2074341,-2.1316917888116853,-0.5975348139327812,-0.5659117222646831,-0.6576829802210812,-0.8076088499514855,-0.5526845964639537,-1.140239434536836,-0.1270117087732673,0.789363730636503,-0.6262828060694792,-0.030377151165101313,-0.35699907479422993,0.4394051947178505,0.4481168736010956,-0.6452318694924433,0.4773464957208415,-0.818122021519067,1.0,0.0
R2073886,-0.9384071179130952,-1.058431800110303,-1.0469574612465278,-2.184799531839472,-0.8076088499514855,-0.9926523876836508,-0.7527219589813858,-0.1270117087732673,-1.7452375089217154,-0.6262828060694792,-0.0741261857847688,-0.9861520063685572,0.7694438714211957,0.7524492268831806,-0.6104582503416188,-1.4263072747221484,-0.818122021519067,1.0,0.0
R2074110,0.5958160303850923,-0.7131923824299781,-0.5538855787901371,-0.6576829802210812,-0.8076088499514855,-0.6145550671042236,-0.2101974932037554,-0.1270117087732673,-0.4779368891426062,1.527117872577498,-0.0436035198350016,-0.20776706846349013,2.2546179165862457,2.1219448166525594,-0.3584248442952641,0.4773464957208415,-0.818122021519067,1.0,0.0
R2073304,0.7662852690848909,0.028580649441609825,0.5765719078171978,0.8694335713973095,0.9478831840426758,0.22413353490832386,0.0223129921295148,-0.1270117087732673,1.4230140405260576,1.527117872577498,0.009301954844599577,0.8974704899911666,4.234849976806317,3.9479389363450688,0.2832297884583321,0.7946221241280065,1.0763591766107998,1.0,0.0
R2073687,-0.5974686405134979,-1.0605173068350882,-0.9820162864839788,-2.184799531839472,-0.8076088499514855,-1.2779440023026731,-0.7527219589813858,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.07081959361729374,-0.07780180502377984,1.9245792398829005,1.8176124633704744,-1.381625027904784,-1.4263072747221484,-0.818122021519067,1.0,0.0
R2073479,0.7662852690848909,-0.8311115671087198,-0.7944084482810594,-0.6576829802210812,-0.8076088499514855,-1.0373366164794011,-1.0627359394257458,-0.1270117087732673,-0.4779368891426062,-0.6262828060694792,-0.05682988850490193,-0.02434938116238342,0.7694438714211957,0.7524492268831806,-1.1310380115631429,-0.7917560179078185,-0.818122021519067,1.0,0.0
R2073909,-0.9384071179130952,-0.8730534245738437,-0.8184607352301516,-0.6576829802210812,-0.8076088499514855,-0.8482879561896877,-0.5202114736481156,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.051488691757439996,-0.5275438498097369,1.099482548124541,1.0567815801652656,-0.8474250969638732,1.1118977525351714,-0.818122021519067,1.0,0.0
R2074726,0.7662852690848909,-0.02008117413671072,-0.0006829789610157634,0.8694335713973095,0.9478831840426758,0.33756273108215196,-0.05519050298157526,2.1666108729996862,0.15571342074694838,1.527117872577498,0.019968520439679116,-0.41727158463475145,-0.05565282033716739,-0.008381656322031817,0.12219840133354508,0.4773464957208415,1.0763591766107998,1.0,0.0
R2073514,-2.4726302662112825,-0.27497644049934217,-0.07283983980829245,0.8694335713973095,0.9478831840426758,1.8430775166620528,1.4173759041291358,-0.1270117087732673,0.789363730636503,-0.6262828060694792,0.004723375089636275,-1.816113844490761,1.7595599015312315,1.6654462867294355,1.4572160987842506,-1.4263072747221484,1.0763591766107998,1.0,0.0
R2073090,0.2548775529854951,-0.481209883283653,-0.4937548614174065,-0.6576829802210812,-0.8076088499514855,-0.42206915844560616,-0.6752184638702958,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,-0.034701045622569815,-0.3962998202489407,-0.05565282033716739,-0.008381656322031817,-0.5421163367938987,-0.4744803895006535,-0.818122021519067,1.0,0.0
